iter	Passed	Remaining
0	134	134558
1	138	69352
2	140	46724
3	143	35677
4	147	29319
5	148	24673
6	150	21349
7	152	18858
8	153	16912
9	155	15362
10	158	14230
11	161	13300
12	163	12402
13	164	11608
14	166	10915
15	167	10318
16	169	9791
17	176	9640
18	179	9253
19	180	8858
20	182	8494
21	185	8230
22	191	8150
23	193	7867
24	194	7603
25	196	7361
26	198	7154
27	199	6941
28	211	7091
29	213	6904
30	215	6723
31	216	6550
32	222	6512
33	224	6369
34	225	6221
35	227	6095
36	229	5962
37	230	5837
38	232	5719
39	236	5677
40	239	5600
41	240	5495
42	242	5393
43	243	5296
44	245	5203
45	246	5115
46	269	5456
47	270	5367
48	272	5280
49	273	5199
50	275	5118
51	276	5040
52	280	5009
53	283	4962
54	284	4894
55	286	4833
56	288	4768
57	289	4704
58	291	4644
59	292	4583
60	298	4597
61	300	4541
62	301	4487
63	303	4432
64	304	4380
65	305	4329
66	307	4279
67	309	4247
68	313	4234
69	315	4190
70	317	4147
71	318	4103
72	319	4061
73	321	4020
74	322	3981
75	332	4038
76	335	4018
77	336	3979
78	338	3940
79	343	3951
80	345	3918
81	346	3881
82	347	3836
83	348	3803
84	350	3769
85	351	3735
86	352	3704
87	360	3735
88	361	3704
89	363	3673
90	364	3643
91	366	3613
92	367	3583
93	368	3554
94	376	3582
95	378	3560
96	379	3534
97	381	3509
98	382	3483
99	384	3460
100	390	3475
101	392	3451
102	393	3426
103	395	3403
104	396	3379
105	397	3356
106	399	3336
107	406	3359
108	408	3338
109	409	3316
110	411	3293
111	414	3283
112	415	3261
113	418	3254
114	421	3246
115	428	3268
116	430	3245
117	438	3278
118	440	3258
119	441	3238
120	442	3217
121	443	3194
122	445	3175
123	446	3156
124	452	3166
125	454	3152
126	455	3131
127	456	3113
128	458	3096
129	460	3079
130	461	3062
131	466	3064
132	468	3053
133	469	3035
134	471	3018
135	472	3003
136	474	2986
137	475	2970
138	476	2953
139	481	2958
140	484	2952
141	485	2934
142	487	2920
143	489	2907
144	491	2896
145	492	2882
146	500	2907
147	504	2905
148	506	2892
149	514	2913
150	516	2902
151	517	2889
152	519	2877
153	521	2862
154	522	2848
155	524	2835
156	530	2846
157	531	2834
158	533	2823
159	535	2810
160	536	2793
161	537	2781
162	539	2769
163	545	2779
164	547	2770
165	548	2757
166	550	2744
167	551	2732
168	553	2720
169	555	2709
170	561	2719
171	562	2708
172	564	2696
173	565	2684
174	566	2672
175	568	2661
176	570	2650
177	575	2658
178	578	2653
179	580	2643
180	581	2631
181	583	2621
182	588	2629
183	591	2624
184	593	2612
185	594	2601
186	596	2592
187	599	2589
188	601	2579
189	603	2571
190	604	2561
191	606	2551
192	607	2541
193	609	2532
194	616	2545
195	618	2537
196	620	2528
197	621	2518
198	623	2511
199	625	2502
200	632	2513
201	633	2503
202	635	2494
203	637	2485
